,accuracy,model,time_train,time_inference,scaling_name,dataset_name
387,0.37362637362637363,NB,0.0006153583526611328,0.0003857612609863281,HyperbolicTangentTransformer,heart_disease
388,0.9629629629629629,NB,0.0005829334259033203,0.0003552436828613281,HyperbolicTangentTransformer,iris
389,0.6506666666666666,NB,0.0028154850006103516,0.0032372474670410156,HyperbolicTangentTransformer,letter_recognition
390,0.9298245614035088,CART,0.004048347473144531,7.963180541992188e-05,MinMaxScaler,breast_cancer_wisconsin_diagnostic
391,0.8915135608048994,CART,0.009400129318237305,0.00011777877807617188,MinMaxScaler,breast_cancer_wisconsin_original
392,0.6461538461538462,CART,0.000576019287109375,5.245208740234375e-05,MinMaxScaler,glass_identification
393,0.5384615384615384,CART,0.0005872249603271484,5.793571472167969e-05,MinMaxScaler,heart_disease
394,0.9444444444444444,CART,0.0004031658172607422,5.1021575927734375e-05,MinMaxScaler,iris
395,0.8741666666666666,CART,0.03945732116699219,0.0006258487701416016,MinMaxScaler,letter_recognition
396,0.9239766081871345,CART,0.004028797149658203,6.4849853515625e-05,MaxAbsScaler,breast_cancer_wisconsin_diagnostic
397,0.889763779527559,CART,0.009372234344482422,0.00011348724365234375,MaxAbsScaler,breast_cancer_wisconsin_original
398,0.6153846153846154,CART,0.0005757808685302734,5.269050598144531e-05,MaxAbsScaler,glass_identification
399,0.5604395604395604,CART,0.0005927085876464844,5.459785461425781e-05,MaxAbsScaler,heart_disease
400,0.9629629629629629,CART,0.00041174888610839844,5.555152893066406e-05,MaxAbsScaler,iris
401,0.8741666666666666,CART,0.039106130599975586,0.0005688667297363281,MaxAbsScaler,letter_recognition
402,0.9122807017543859,CART,0.0039556026458740234,6.222724914550781e-05,StandardScaler,breast_cancer_wisconsin_diagnostic
403,0.8941382327209099,CART,0.00936436653137207,0.0001125335693359375,StandardScaler,breast_cancer_wisconsin_original
404,0.6307692307692307,CART,0.0005748271942138672,5.2928924560546875e-05,StandardScaler,glass_identification
405,0.5604395604395604,CART,0.0005939006805419922,5.459785461425781e-05,StandardScaler,heart_disease
406,0.9444444444444444,CART,0.00040459632873535156,5.6743621826171875e-05,StandardScaler,iris
407,0.8748333333333334,CART,0.03919196128845215,0.0005624294281005859,StandardScaler,letter_recognition
408,0.9239766081871345,CART,0.00438380241394043,0.0005040168762207031,ParetoScaling,breast_cancer_wisconsin_diagnostic
409,0.889763779527559,CART,0.009633302688598633,0.00042724609375,ParetoScaling,breast_cancer_wisconsin_original
410,0.676923076923077,CART,0.0008687973022460938,0.0003688335418701172,ParetoScaling,glass_identification
411,0.5604395604395604,CART,0.0008847713470458984,0.0003509521484375,ParetoScaling,heart_disease
412,0.9259259259259259,CART,0.0007054805755615234,0.00033092498779296875,ParetoScaling,iris
413,0.8705,CART,0.03947567939758301,0.0009188652038574219,ParetoScaling,letter_recognition
